NET,PDUT,TDUT,CON1_Name,CON1_X,CON1_Y,CON1_Type,CON2_Name,CON2_X,CON2_Y,CON2_Type,CON3_Name,CON3_X,CON3_Y,CON3_Type,Layer,TPD_M2N,TPD_M2N_NRM,TPD_M2N_STD,TSM_M2N,TSM_FFI,TSM_DIFF,TSM_DIFF_NRM,TSM_DIFF_STD,TSM_M2N_NRM,TSM_M2N_STD,EMPTY,LESS
1_SA6_S2_b_43,722,498,LGA11_3.D30,-23.4583 ,-221.5926 ,THROUGH,L722_DQ0.1,-5.7100 ,-72.0000 ,THROUGH,L722.DQ0_WT,-11.7100 ,-52.0000 ,BOTTOM,TOP-BOTTOM,2.364 ,0.27 ,-1.11 ,8.22 ,8.20 ,0.02 ,0.03 ,-0.82 ,0.63 ,-0.06 ,,
1_SA6_S2_b_33,723,492,LGA11_3.D10,-25.3021 ,-245.0201 ,THROUGH,L723_DQ0.1,-6.7100 ,-72.0000 ,THROUGH,L723.DQ0_WT,-11.7100 ,-57.0000 ,BOTTOM,TOP-BOTTOM,2.370 ,0.29 ,-0.97 ,8.24 ,8.16 ,0.08 ,0.13 ,0.02 ,0.64 ,0.13 ,,
1_SA6_S2_b_35,724,494,LGA11_3.D14,-24.9882 ,-241.0325 ,THROUGH,L724_DQ0.1,-7.7100 ,-72.0000 ,THROUGH,L724.DQ0_WT,-11.7100 ,-62.0000 ,BOTTOM,TOP-BOTTOM,2.314 ,0.09 ,-2.26 ,8.16 ,8.10 ,0.06 ,0.09 ,-0.26 ,0.61 ,-0.63 ,,
1_SA6_S2_b_41,725,496,LGA11_3.D26,-23.7721 ,-225.5803 ,THROUGH,L725_DQ0.1,-8.7100 ,-72.0000 ,THROUGH,L725.DQ0_WT,-11.7100 ,-67.0000 ,BOTTOM,TOP-BOTTOM,2.341 ,0.18 ,-1.64 ,8.22 ,8.20 ,0.02 ,0.03 ,-0.82 ,0.63 ,-0.06 ,,
1_SA6_S1_b_25,726,462,LGA11_2.B26,-14.0521 ,-226.3452 ,THROUGH,L726_DQ0.1,-5.7100 ,-108.0000 ,THROUGH,L726.DQ0_WT,-11.7100 ,-73.0000 ,BOTTOM,TOP-BOTTOM,2.343 ,0.19 ,-1.59 ,8.02 ,8.12 ,0.10 ,0.16 ,0.30 ,0.57 ,-1.96 ,,
1_SA6_S1_b_17,727,458,LGA11_2.B10,-15.5821 ,-245.7851 ,THROUGH,L727_DQ0.1,-6.7100 ,-108.0000 ,THROUGH,L727.DQ0_WT,-11.7100 ,-78.0000 ,BOTTOM,TOP-BOTTOM,2.383 ,0.33 ,-0.68 ,8.08 ,8.10 ,0.02 ,0.03 ,-0.82 ,0.59 ,-1.39 ,,
1_SA6_S1_b_49,729,472,LGA11_4.B10,-28.5420 ,-244.7651 ,THROUGH,L729_DQ0.1,-7.7100 ,-108.0000 ,THROUGH,L729.DQ0_WT,-11.7100 ,-88.0000 ,BOTTOM,TOP-BOTTOM,2.341 ,0.18 ,-1.64 ,8.12 ,8.18 ,0.06 ,0.09 ,-0.26 ,0.60 ,-1.01 ,,
1_SA6_S1_b_43,730,470,LGA11_3.B30,-20.2183 ,-221.8476 ,THROUGH,L730_DQ0.1,-8.7100 ,-108.0000 ,THROUGH,L730.DQ0_WT,-11.7100 ,-93.0000 ,BOTTOM,TOP-BOTTOM,2.383 ,0.33 ,-0.68 ,8.20 ,8.16 ,0.04 ,0.06 ,-0.54 ,0.63 ,-0.25 ,,
1_SA6_S1_b_35,731,466,LGA11_3.B14,-21.7483 ,-241.2875 ,THROUGH,L731_DQ0.1,-9.7100 ,-108.0000 ,THROUGH,L731.DQ0_WT,-11.7100 ,-98.0000 ,BOTTOM,TOP-BOTTOM,2.373 ,0.30 ,-0.90 ,8.12 ,8.16 ,0.04 ,0.06 ,-0.54 ,0.60 ,-1.01 ,,
1_SA6_S1_b_41,732,468,LGA11_3.B26,-20.5321 ,-225.8352 ,THROUGH,L732_DQ0.1,-10.7100 ,-108.0000 ,THROUGH,L732.DQ0_WT,-11.7100 ,-103.0000 ,BOTTOM,TOP-BOTTOM,2.315 ,0.09 ,-2.23 ,8.14 ,8.14 ,0.00 ,0.00 ,-1.10 ,0.61 ,-0.82 ,,
1_SA6_S1_a_3,733,451,LGA11_1.A13,-6.6237 ,-243.4809 ,THROUGH,L733_DQ0.1,-12.7100 ,-112.0000 ,THROUGH,L733.DQ0_WT,-11.7100 ,-109.0000 ,BOTTOM,TOP-BOTTOM,2.425 ,0.48 ,0.29 ,8.20 ,8.14 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.25 ,,
1_SA6_S1_a_1,734,449,LGA11_1.A09,-6.9375 ,-247.4686 ,THROUGH,L734_DQ0.1,-12.7100 ,-113.0000 ,THROUGH,L734.DQ0_WT,-11.7100 ,-114.0000 ,BOTTOM,TOP-BOTTOM,2.438 ,0.53 ,0.58 ,8.18 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.62 ,-0.44 ,,
1_SA6_S1_a_11,735,455,LGA11_1.A29,-5.0937 ,-224.0410 ,THROUGH,L735_DQ0.1,-4.7100 ,-132.0000 ,THROUGH,L735.DQ0_WT,-11.7100 ,-119.0000 ,BOTTOM,TOP-BOTTOM,2.389 ,0.35 ,-0.54 ,8.08 ,8.18 ,0.10 ,0.16 ,0.30 ,0.59 ,-1.39 ,,
1_SA6_S1_a_49,736,471,LGA11_4.A09,-26.3774 ,-245.9386 ,THROUGH,L736_DQ0.1,-4.7100 ,-134.0000 ,THROUGH,L736.DQ0_WT,-11.7100 ,-124.0000 ,BOTTOM,TOP-BOTTOM,2.399 ,0.39 ,-0.31 ,8.22 ,8.14 ,0.08 ,0.13 ,0.02 ,0.63 ,-0.06 ,,
1_SA6_S1_a_57,737,475,LGA11_4.A25,-24.8474 ,-226.4987 ,THROUGH,L737_DQ0.1,-21.5100 ,-144.0000 ,THROUGH,L737.DQ0_WT,-18.5100 ,-129.0000 ,BOTTOM,TOP-BOTTOM,2.451 ,0.57 ,0.88 ,8.18 ,8.10 ,0.08 ,0.13 ,0.02 ,0.62 ,-0.44 ,,
1_SA6_S1_a_51,738,473,LGA11_4.A13,-26.0636 ,-241.9509 ,THROUGH,L738_DQ0.1,-20.5100 ,-144.0000 ,THROUGH,L738.DQ0_WT,-18.5100 ,-134.0000 ,BOTTOM,TOP-BOTTOM,2.377 ,0.31 ,-0.81 ,8.16 ,8.14 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.63 ,,
